"x" "y" "carex" "abund"
1 24 0 8
2 24 1 3
3 24 1 7
4 24 1 6
5 24 0 4
6 24 1 4
7 24 1 2
8 24 1 6
9 24 1 5
10 24 1 4
11 24 0 7
12 24 0 5
13 24 0 6
14 24 1 3
15 24 0 1
16 24 0 3
17 24 1 4
18 24 0 0
19 24 0 0
20 24 1 3
21 24 1 3
22 24 0 1
23 24 1 5
24 24 0 0
1 23 0 6
2 23 1 10
3 23 0 8
4 23 0 8
5 23 1 7
6 23 1 4
7 23 1 8
8 23 0 3
9 23 0 1
10 23 1 4
11 23 0 4
12 23 0 5
13 23 0 4
14 23 0 1
15 23 0 6
16 23 0 3
17 23 0 3
18 23 1 2
19 23 1 2
20 23 1 2
21 23 0 2
22 23 0 3
23 23 0 4
24 23 1 4
1 22 1 8
2 22 1 13
3 22 1 10
4 22 1 4
5 22 0 7
6 22 1 4
7 22 1 6
8 22 0 7
9 22 0 9
10 22 0 3
11 22 0 8
12 22 0 4
13 22 0 6
14 22 0 3
15 22 1 5
16 22 1 3
17 22 1 6
18 22 1 4
19 22 0 3
20 22 0 4
21 22 0 2
22 22 0 0
23 22 0 3
24 22 0 1
1 21 0 6
2 21 0 7
3 21 1 7
4 21 1 5
5 21 1 5
6 21 1 7
7 21 1 8
8 21 0 3
9 21 1 7
10 21 0 7
11 21 1 5
12 21 0 7
13 21 0 1
14 21 0 4
15 21 0 4
16 21 0 1
17 21 1 4
18 21 1 5
19 21 0 4
20 21 0 7
21 21 0 0
22 21 0 2
23 21 0 0
24 21 0 0
1 20 0 6
2 20 1 3
3 20 1 6
4 20 0 7
5 20 1 6
6 20 1 9
7 20 1 8
8 20 1 4
9 20 1 7
10 20 0 6
11 20 0 4
12 20 0 5
13 20 0 7
14 20 1 3
15 20 1 9
16 20 1 5
17 20 0 6
18 20 1 3
19 20 1 3
20 20 0 6
21 20 0 1
22 20 0 5
23 20 0 1
24 20 0 1
1 19 0 10
2 19 1 6
3 19 0 9
4 19 0 7
5 19 0 7
6 19 1 9
7 19 0 7
8 19 1 7
9 19 0 9
10 19 1 8
11 19 1 8
12 19 1 4
13 19 1 5
14 19 1 3
15 19 0 3
16 19 0 4
17 19 0 3
18 19 0 4
19 19 1 4
20 19 1 5
21 19 0 4
22 19 0 4
23 19 0 1
24 19 0 2
1 18 0 7
2 18 1 5
3 18 0 10
4 18 1 10
5 18 1 5
6 18 0 8
7 18 1 6
8 18 0 7
9 18 1 11
10 18 0 7
11 18 0 6
12 18 0 5
13 18 1 6
14 18 0 5
15 18 0 8
16 18 1 6
17 18 1 5
18 18 0 5
19 18 0 5
20 18 1 6
21 18 0 2
22 18 0 2
23 18 0 1
24 18 0 3
1 17 0 7
2 17 0 3
3 17 0 9
4 17 0 5
5 17 0 8
6 17 0 6
7 17 1 11
8 17 1 8
9 17 0 9
10 17 1 8
11 17 0 8
12 17 0 6
13 17 0 9
14 17 0 7
15 17 0 8
16 17 0 2
17 17 1 4
18 17 0 1
19 17 0 2
20 17 0 1
21 17 0 4
22 17 0 2
23 17 0 5
24 17 0 1
1 16 0 5
2 16 0 4
3 16 0 3
4 16 0 6
5 16 0 8
6 16 1 6
7 16 0 6
8 16 1 5
9 16 1 9
10 16 0 6
11 16 0 6
12 16 0 6
13 16 0 5
14 16 0 5
15 16 0 4
16 16 0 9
17 16 1 7
18 16 0 6
19 16 0 5
20 16 0 5
21 16 1 5
22 16 0 3
23 16 0 3
24 16 0 1
1 15 0 7
2 15 0 0
3 15 0 6
4 15 0 6
5 15 0 8
6 15 0 8
7 15 1 7
8 15 0 7
9 15 1 11
10 15 0 9
11 15 0 4
12 15 0 7
13 15 0 7
14 15 0 8
15 15 0 4
16 15 0 5
17 15 1 6
18 15 0 5
19 15 0 4
20 15 0 2
21 15 1 1
22 15 0 5
23 15 0 4
24 15 0 3
1 14 0 4
2 14 0 8
3 14 0 5
4 14 0 5
5 14 0 8
6 14 1 6
7 14 0 3
8 14 0 4
9 14 0 7
10 14 1 9
11 14 1 9
12 14 0 5
13 14 0 9
14 14 0 3
15 14 0 7
16 14 1 9
17 14 1 9
18 14 0 4
19 14 0 8
20 14 0 5
21 14 0 5
22 14 0 3
23 14 0 3
24 14 0 2
1 13 0 2
2 13 0 4
3 13 0 4
4 13 0 4
5 13 1 4
6 13 0 4
7 13 0 4
8 13 0 6
9 13 0 7
10 13 0 4
11 13 1 8
12 13 1 7
13 13 0 4
14 13 0 5
15 13 0 8
16 13 0 7
17 13 1 8
18 13 0 9
19 13 0 6
20 13 0 7
21 13 0 1
22 13 0 5
23 13 0 3
24 13 0 4
1 12 0 3
2 12 0 1
3 12 0 3
4 12 1 9
5 12 0 7
6 12 0 10
7 12 0 5
8 12 0 5
9 12 0 7
10 12 0 5
11 12 0 8
12 12 0 8
13 12 1 8
14 12 0 9
15 12 0 7
16 12 1 6
17 12 0 7
18 12 0 6
19 12 0 6
20 12 0 3
21 12 0 3
22 12 0 3
23 12 1 4
24 12 0 0
1 11 0 3
2 11 0 5
3 11 1 4
4 11 0 4
5 11 0 4
6 11 0 6
7 11 1 4
8 11 1 8
9 11 0 6
10 11 1 7
11 11 0 6
12 11 1 11
13 11 1 7
14 11 1 3
15 11 1 8
16 11 1 7
17 11 1 6
18 11 1 5
19 11 0 5
20 11 0 7
21 11 0 2
22 11 0 8
23 11 1 5
24 11 1 2
1 10 0 4
2 10 1 3
3 10 0 1
4 10 0 5
5 10 1 7
6 10 1 8
7 10 0 5
8 10 0 6
9 10 0 5
10 10 0 9
11 10 0 8
12 10 0 9
13 10 0 4
14 10 1 7
